                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6978,                 2.6076,                 1.6038,                0.44403,                0.37848,                0.38447,                0.25052,                 1.8647,                 3.0415,                 2.0433,             0.00055344,             0.00055344,             0.00055344
                      2,                 1.4939,                 1.8231,                 1.4542,                0.42104,                0.38055,                0.35985,                0.19255,                  2.005,                 2.4452,                  1.943,              0.0010725,              0.0010725,              0.0010725
                      3,                 1.4356,                 1.6354,                 1.4256,                0.05128,                0.06259,                0.02141,                0.00604,                 3.0444,                 3.7038,                 3.2698,              0.0015549,              0.0015549,              0.0015549
                      4,                 1.3748,                 1.5252,                 1.3885,                0.46045,                0.37867,                0.40257,                0.25762,                 1.8799,                 2.3682,                 1.9448,               0.001502,               0.001502,               0.001502
                      5,                 1.3284,                 1.4133,                 1.3588,                 0.5368,                0.45765,                 0.4612,                0.29712,                 1.7817,                 2.1678,                 1.8863,               0.001502,               0.001502,               0.001502
                      6,                 1.2602,                 1.3251,                 1.3188,                0.48255,                0.49174,                0.46638,                0.32781,                 1.6614,                 1.9659,                 1.8455,               0.001447,               0.001447,               0.001447
                      7,                 1.2189,                 1.2571,                 1.2958,                0.43293,                0.42258,                0.37146,                0.08702,                 2.5326,                 2.3475,                 2.8642,              0.0013919,              0.0013919,              0.0013919
                      8,                 1.1828,                 1.1842,                  1.273,                 0.5069,                0.48569,                0.47019,                0.17335,                 2.2647,                 2.1296,                  2.511,              0.0013369,              0.0013369,              0.0013369
                      9,                 1.1593,                 1.1495,                 1.2639,                0.43786,                 0.4907,                0.45288,                0.25036,                 1.8842,                 2.1446,                 1.9815,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.1358,                 1.1045,                  1.247,                0.53379,                0.54386,                0.51707,                0.34982,                 1.5339,                 1.7802,                 1.6821,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.1019,                 1.0714,                 1.2254,                0.53712,                0.51868,                0.50272,                 0.1869,                 2.1895,                 1.9237,                 2.4058,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.0886,                 1.0355,                 1.2218,                0.52232,                0.56572,                0.53152,                 0.3156,                 1.7517,                  1.785,                 1.8997,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.0471,                 1.0128,                 1.1981,                0.56858,                  0.552,                0.53889,                0.32401,                 1.6922,                 1.7427,                 1.7961,              0.0010619,              0.0010619,              0.0010619
                     14,                  1.038,                0.98123,                 1.1935,                0.55635,                0.55115,                0.53969,                0.35341,                  1.627,                 1.7363,                 1.7672,              0.0010069,              0.0010069,              0.0010069
                     15,                 1.0132,                0.95346,                 1.1771,                0.51272,                0.57625,                0.53072,                0.23642,                 2.0383,                 1.8837,                 2.3392,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.0026,                0.93605,                 1.1644,                0.57162,                0.57054,                0.54376,                0.37932,                  1.523,                 1.7064,                 1.7103,             0.00089685,             0.00089685,             0.00089685
                     17,                0.98642,                0.90773,                 1.1623,                0.51862,                0.51654,                 0.4865,                0.12144,                 2.4956,                 2.0417,                  3.216,             0.00084184,             0.00084184,             0.00084184
                     18,                0.97723,                 0.8966,                 1.1556,                0.47754,                0.52552,                0.49443,                0.14091,                 2.4536,                 2.0998,                 3.1674,             0.00078682,             0.00078682,             0.00078682
                     19,                0.94558,                0.87537,                  1.134,                0.56136,                0.56177,                0.52784,                0.22637,                 2.1201,                 1.7808,                 2.4611,             0.00073181,             0.00073181,             0.00073181
                     20,                 0.9214,                0.85337,                 1.1241,                0.60139,                0.58556,                0.56853,                0.29706,                 1.8054,                 1.6851,                 2.0058,              0.0006768,              0.0006768,              0.0006768
                     21,                0.84713,                0.73201,                 1.0811,                0.54707,                0.57942,                0.54255,                0.23894,                  2.056,                 1.7923,                 2.4824,             0.00062179,             0.00062179,             0.00062179
                     22,                0.79099,                0.67233,                 1.0461,                0.58437,                0.58125,                0.57183,                0.30842,                 1.8201,                 1.6142,                 2.0953,             0.00056678,             0.00056678,             0.00056678
                     23,                0.77003,                0.65264,                 1.0379,                0.57704,                0.58516,                0.57264,                0.35311,                 1.6213,                 1.5849,                 1.8287,             0.00051177,             0.00051177,             0.00051177
                     24,                0.75557,                0.63299,                 1.0227,                0.55973,                0.58215,                0.56394,                0.32917,                  1.741,                 1.6173,                 1.9966,             0.00045676,             0.00045676,             0.00045676
                     25,                0.73235,                0.61244,                 1.0128,                0.57171,                0.60108,                0.58328,                  0.359,                 1.6311,                 1.5746,                 1.8832,             0.00040175,             0.00040175,             0.00040175
                     26,                0.71104,                0.59932,                 1.0035,                0.56753,                0.59159,                0.58286,                0.33328,                 1.7509,                 1.6138,                 2.0504,             0.00034674,             0.00034674,             0.00034674
